stop_lat,stop_id,stop_name,stop_lon
55.913093,108217,Голубые Озёра,49.162597
55.901381,108218,АЗС (Щербаково),49.196278
55.790398,35896,Яхина,49.102578
55.778381,35839,Юнусовская пл.,49.114777
55.774964,35840,Ахтямова,49.118158
55.772582,35841,Сайдашева,49.120467
55.731298,35897,ТД Аромат,49.149025
55.729838,35898,Борисково,49.152941
55.726716,36451,Борисковская,49.151037
55.717782,35899,Артель Волга,49.150784
55.710619,35900,Дом культуры,49.148341
55.707739,35901,Магазин (Мирный),49.147307
55.70597,35902,Поликлиника №3,49.146398
55.702053,35903,Виталия Синицына,49.140476
55.697769,36452,Школа №129,49.13506
55.694215,36449,Мирный,49.142394
55.697558,36450,Школа №129,49.135593
55.701882,35882,Виталия Синицына,49.140301
55.705747,35883,Поликлиника №3,49.146145
55.708024,35884,Магазин (Мирный),49.147465
55.709925,35885,Дом культуры,49.148124
55.726063,35886,Борисковская,49.15084
55.730461,35887,Борисково,49.152525
55.731407,35888,ТД Аромат,49.148814
55.773008,35889,Сайдашева,49.120237
55.775268,35890,Ахтямова,49.118043
55.7785,35891,По требованию (ул. Габдуллы Тукая),49.114842
55.779888,35892,Юнусовская пл.,49.113465
55.826477,35871,Горьковское шоссе,49.042871
55.831706,35872,Тасма,49.05262
55.826155,36420,Серова (автобус),49.064914
55.826223,36421,Блюхера,49.070871
55.829999,36422,Усманова,49.073698
55.832795,36423,Восход,49.073533
55.809422,35959,Академика Губкина,49.199741
55.806639,35960,Зур Урам,49.192849
55.804038,35961,Кафе Полёт,49.188198
55.780959,36258,Парижской Коммуны,49.11238
55.783739,36259,Худякова (по требованию),49.109656
55.785595,36260,Колхозный рынок (ул. Габдуллы Тукая),49.107773
55.806247,36424,Шоссейная,49.075222
55.809711,36425,Мулланура Вахитова (ул. Большая Крыловка),49.075603
55.814679,36426,Большая Крыловка (ул. Краснококшайская),49.070798
55.816838,36427,Краснококшайская,49.064943
55.823922,36071,Идель,49.045831
55.825543,35720,Декабристов,49.08857
55.826928,35723,Мусина (проспект Ямашева),49.121924
55.826964,35724,Фатыха Амирхана,49.135487
55.840147,35360,Короленко (ул. Гагарина),49.100816
55.83724,35763,Кафе Солнышко,49.101169
55.830643,36044,Магазин Новинка,49.100872
55.826296,36045,Фатыха Амирхана,49.133431
55.822639,35766,Четаева,49.133274
55.818566,35767,Чистопольская,49.133255
55.81504,35768,Сибгата Хакима,49.133297
55.798734,35769,Мост Миллениум (по требованию),49.152971
55.79637,35855,пл. Свободы,49.123519
55.798237,35856,КАИ (ул. Большая Красная),49.115159
